,cutoff,start_balance,num_trades,strat,max_shares,win_rate,total_num_trades,avg_price_per_share,balance,percent_change
0,0.005,2000,3,sorted,100,0.6343079031521243,4378,24.813015058087537,25001.503291299927,11.500751645649963
1,0.005,2000,3,sorted,200,0.6368204659661946,4378,24.813015058087537,42010.70084089995,20.005350420449975
2,0.005,2000,3,sorted,300,0.6349931475559616,4378,24.813015058087537,57050.08438860006,27.525042194300028
3,0.005,2000,3,sorted,400,0.6372772955687529,4378,24.813015058087537,70277.37222759992,34.138686113799956
4,0.005,2000,5,sorted,100,0.6372674336031814,7041,23.75705857462019,30332.91392499995,14.166456962499975
5,0.005,2000,5,sorted,200,0.6385456611276807,7041,23.75705857462019,49243.2106300998,23.621605315049898
6,0.005,2000,5,sorted,300,0.6378355347251811,7041,23.75705857462019,64333.89703010014,31.16694851505007
7,0.005,2000,5,sorted,400,0.6393978128106803,7041,23.75705857462019,76960.36273909977,37.48018136954989
8,0.005,2000,10,sorted,100,0.6408624393348715,12569,23.50378109597744,36583.969556699965,17.29198477834998
9,0.005,2000,10,sorted,200,0.6414193651046225,12569,23.50378109597744,52011.030041699756,25.005515020849877
10,0.005,2000,10,sorted,300,0.6426127774683745,12569,23.50378109597744,61398.26097970011,29.699130489850056
11,0.005,2000,10,sorted,400,0.6430105815896253,12569,23.50378109597744,67245.99726869988,32.62299863434994
12,0.005,2000,15,sorted,100,0.6459619952494062,16840,23.371192136513113,34742.06355819997,16.371031779099983
13,0.005,2000,15,sorted,200,0.6459619952494062,16840,23.371192136513113,44853.67755689997,21.426838778449987
14,0.005,2000,15,sorted,300,0.6471496437054631,16840,23.371192136513113,50144.22148389985,24.072110741949924
15,0.005,2000,15,sorted,400,0.6467339667458433,16840,23.371192136513113,54052.050259900025,26.026025129950014
16,0.01,2000,3,sorted,100,0.6343321482986287,3938,25.11559740998835,23967.25052599997,10.983625262999986
17,0.01,2000,3,sorted,200,0.6363636363636364,3938,25.11559740998835,40410.39127999992,19.20519563999996
18,0.01,2000,3,sorted,300,0.6345860843067547,3938,25.11559740998835,54961.56661400005,26.480783307000024
19,0.01,2000,3,sorted,400,0.6363636363636364,3938,25.11559740998835,67861.65831799987,32.930829158999934
20,0.01,2000,5,sorted,100,0.635280095351609,5873,23.95538243902438,29282.553982999885,13.641276991499943
21,0.01,2000,5,sorted,200,0.6356206368125319,5873,23.95538243902438,47874.613459999826,22.937306729999914
22,0.01,2000,5,sorted,300,0.636471990464839,5873,23.95538243902438,63428.67515200014,30.71433757600007
23,0.01,2000,5,sorted,400,0.6366422611953005,5873,23.95538243902438,76691.90217399978,37.34595108699989
24,0.01,2000,10,sorted,100,0.6359364511076303,8938,23.736054686521722,34329.542412,16.164771206
25,0.01,2000,10,sorted,200,0.6387334974267174,8938,23.736054686521722,51734.53804099996,24.867269020499982
26,0.01,2000,10,sorted,300,0.637950324457373,8938,23.736054686521722,64729.80205799988,31.364901028999938
27,0.01,2000,10,sorted,400,0.6408592526292235,8938,23.736054686521722,74735.35915300008,36.367679576500045
28,0.01,2000,15,sorted,100,0.6412432071694156,10489,24.176734218141096,33496.2632679,15.74813163395
29,0.01,2000,15,sorted,200,0.6427686147392506,10489,24.176734218141096,48710.423583199736,23.355211791599867
30,0.01,2000,15,sorted,300,0.6439126704166269,10489,24.176734218141096,59716.63722320032,28.85831861160016
31,0.01,2000,15,sorted,400,0.6436266564972829,10489,24.176734218141096,68188.2233051997,33.09411165259985
32,0.015,2000,3,sorted,100,0.6378118425007514,3327,24.871555949713702,22154.615594999952,10.077307797499977
33,0.015,2000,3,sorted,200,0.6387135557559362,3327,24.871555949713702,37209.9799599999,17.60498997999995
34,0.015,2000,3,sorted,300,0.638112413585813,3327,24.871555949713702,50125.75301200004,24.06287650600002
35,0.015,2000,3,sorted,400,0.6417192666065524,3327,24.871555949713702,61247.09170899996,29.623545854499977
36,0.015,2000,5,sorted,100,0.6397422126745435,4655,23.18482656460047,26059.718782999895,12.029859391499947
37,0.015,2000,5,sorted,200,0.641031149301826,4655,23.18482656460047,42507.76896399994,20.253884481999968
38,0.015,2000,5,sorted,300,0.6412459720730398,4655,23.18482656460047,55715.01591499999,26.857507957499994
39,0.015,2000,5,sorted,400,0.644468313641246,4655,23.18482656460047,67406.12570799996,32.70306285399998
40,0.015,2000,10,sorted,100,0.6469860896445131,6470,23.21392496185852,29908.9582789999,13.95447913949995
41,0.015,2000,10,sorted,200,0.6483771251931993,6470,23.21392496185852,45689.26791099984,21.844633955499923
42,0.015,2000,10,sorted,300,0.6499227202472952,6470,23.21392496185852,57077.16037800006,27.53858018900003
43,0.015,2000,10,sorted,400,0.6513137557959815,6470,23.21392496185852,66825.62479199974,32.41281239599987
44,0.015,2000,15,sorted,100,0.6550615212527964,7152,23.35167043380753,30119.793782999957,14.059896891499978
45,0.015,2000,15,sorted,200,0.6557606263982103,7152,23.35167043380753,45126.449629999915,21.56322481499996
46,0.015,2000,15,sorted,300,0.6577181208053692,7152,23.35167043380753,55656.76857500009,26.828384287500043
47,0.015,2000,15,sorted,400,0.6572986577181208,7152,23.35167043380753,65047.54623999985,31.523773119999927
48,0.02,2000,3,sorted,100,0.6340457442819648,2667,24.988380830489184,19524.716804999964,8.762358402499983
49,0.02,2000,3,sorted,200,0.6344206974128234,2667,24.988380830489184,33275.14366599995,15.637571832999976
50,0.02,2000,3,sorted,300,0.6362954630671166,2667,24.988380830489184,44181.87588700009,21.090937943500045
51,0.02,2000,3,sorted,400,0.6344206974128234,2667,24.988380830489184,53645.35739099997,25.822678695499985
52,0.02,2000,5,sorted,100,0.636466591166478,3532,23.6768114817975,22238.726687999937,10.119363343999968
53,0.02,2000,5,sorted,200,0.6390147225368064,3532,23.6768114817975,37177.93419999991,17.588967099999955
54,0.02,2000,5,sorted,300,0.6373159682899208,3532,23.6768114817975,48793.20280600013,23.396601403000066
55,0.02,2000,5,sorted,400,0.6395809739524349,3532,23.6768114817975,57963.559143999955,27.98177957199998
56,0.02,2000,10,sorted,100,0.6454954954954955,4440,23.85518427139202,23846.478982999975,10.923239491499988
57,0.02,2000,10,sorted,200,0.6466216216216216,4440,23.85518427139202,38316.61185199997,18.158305925999986
58,0.02,2000,10,sorted,300,0.6472972972972973,4440,23.85518427139202,48941.21283000019,23.4706064150001
59,0.02,2000,10,sorted,400,0.6495495495495496,4440,23.85518427139202,57083.610916999925,27.54180545849996
60,0.02,2000,15,sorted,100,0.6533192834562698,4745,23.863508566743985,23783.60239599994,10.89180119799997
61,0.02,2000,15,sorted,200,0.6535300316122233,4745,23.863508566743985,37820.27602799989,17.910138013999944
62,0.02,2000,15,sorted,300,0.6535300316122233,4745,23.863508566743985,48101.71316199993,23.050856580999962
63,0.02,2000,15,sorted,400,0.6552160168598524,4745,23.863508566743985,56133.90043199981,27.066950215999906
64,0.025,2000,3,sorted,100,0.6316622691292876,1895,24.843196718750008,17336.347319999953,7.668173659999977
65,0.025,2000,3,sorted,200,0.6321899736147757,1895,24.843196718750008,29368.545849999984,13.684272924999991
66,0.025,2000,3,sorted,300,0.6316622691292876,1895,24.843196718750008,39199.417515000045,18.59970875750002
67,0.025,2000,3,sorted,400,0.6343007915567282,1895,24.843196718750008,47298.60727899997,22.649303639499983
68,0.025,2000,5,sorted,100,0.6367614879649891,2285,24.916718630208344,18580.97948299997,8.290489741499986
69,0.025,2000,5,sorted,200,0.6363238512035011,2285,24.916718630208344,30980.59933999995,14.490299669999974
70,0.025,2000,5,sorted,300,0.637636761487965,2285,24.916718630208344,40639.888033999996,19.319944016999997
71,0.025,2000,5,sorted,400,0.6402625820568928,2285,24.916718630208344,48298.84743899996,23.149423719499982
72,0.025,2000,10,sorted,100,0.6467203682393556,2607,24.965651684027765,19212.343138,8.606171569
73,0.025,2000,10,sorted,200,0.648638281549674,2607,24.965651684027765,31367.920771999925,14.683960385999962
74,0.025,2000,10,sorted,300,0.6471039509014193,2607,24.965651684027765,40668.76770700012,19.33438385350006
75,0.025,2000,10,sorted,400,0.6497890295358649,2607,24.965651684027765,47745.2468989999,22.87262344949995
76,0.025,2000,15,sorted,100,0.6480238627889635,2682,24.95757737266205,19030.065110999974,8.515032555499987
77,0.025,2000,15,sorted,200,0.6495152870991797,2682,24.95757737266205,31014.300846999933,14.507150423499967
78,0.025,2000,15,sorted,300,0.6483967188665175,2682,24.95757737266205,40244.12664500012,19.12206332250006
79,0.025,2000,15,sorted,400,0.6502609992542878,2682,24.95757737266205,47298.145695999934,22.649072847999967
